Vrsta dela,Naslov oglasa,Kraj,Placilo,Prosta mesta,Trajanje,Delovnik,Začetek dela
VADITELJ/ICA,DELO Z OTROKI,KOMENDA,13.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,11. 9. 2025
ADMINISTRATIVNA DELA,DELO V SKLADIŠČU,IG,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
POMOČ PRI PRODAJI,SVETOVANJE PRI PRODAJI,KOPER,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
SELITVE,Brez naslova,IZOLA,6.32,4,DO 5. 9. 2025,PO DOGOVORU,1. 9. 2025
POLNJENJE POLIC,Brez naslova,MENGEŠ,6.88,4,CCA 1 TEDEN,DOPOLDAN,Brez podatka
PROGRAMIRANJE,RAZVIJANJE APLIKACIJ,LJUBLJANA,8.0,2,PO DOGOVORU,PO DOGOVORU,15. 9. 2025
NOVINARSKA DELA,Brez naslova,SLOVENSKA BISTRICA,7.12,Brez podatka,PO DOGOVORU,PO DOGOVORU,1. 10. 2025
SNEMANJE IN UREJANJE KRATKIH VIDEOV,Brez naslova,SLOVENSKA BISTRICA,7.0,2,PO DOGOVORU,PO DOGOVORU,1. 10. 2025
POMOČ PRI PRODAJI,Brez naslova,PTUJ,6.32,2,PO DOGOVORU,IZMENSKO,1. 9. 2025
STREŽBA,DELO NA RECEPCIJI IN V STREŽBI,LJUBLJANA,8.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
LAŽJA FIZIČNA DELA,POMOČ PRI SELITVAH,POSTOJNA,7.14,2,"NEKAJ DNI, PO DOGOVORU",DOPOLDAN,1. 9. 2025
DELO V SKLADIŠČU,Brez naslova,LJUBLJANA,7.0,2,PO DOGOVORU,DOPOLDAN,1. 9. 2025
ADMINISTRATIVNA DELA,PRAVNE STORITVE,LJUBLJANA,7.83,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,15. 9. 2025
PRODAJA,DELO V ZLATARNI,LJUBLJANA,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ PRI PRODAJI,Brez naslova,BREŽICE,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,15. 9. 2025
STREŽBA,DELO V KAVARNI,LJUBLJANA,8.35,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2. 9. 2025
STREŽBA,Brez naslova,TREBNJE,9.0,2,PO DOGOVORU,MED VIKENDI,Brez podatka
BLAGAJNIK,RAZVOZ,LJUBLJANA,8.61,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,4. 9. 2025
POMOČ V STREŽBI,DELO V KAVARNI,LJUBLJANA,7.0,2,PO DOGOVORU,DOPOLDAN,Brez podatka
